lat;lon;escola;logradouro;num;cidade;cod
-5.81109140;-35.55269780;ESCOLA ESTADUAL IELMO MARINHO;RUA JOSE CAMILO BEZERRA;271;IELMO MARINHO - RN;267
-6.00711760;-35.85778540;ESCOLA ESTADUAL PREFEITO JOAO EVANGELISTA;RUA JOSE ANTONIO DA COSTA;162;LAGOA DE VELHOS - RN;268
-6.102926399999999;-35.70449320;ESCOLA ESTADUAL PROFESSORA  HERONDINA CALDAS;RUA PADRE ANTONIO VILELA DANTAS;165;SERRA CAIADA - RN;269
-5.88226170;-35.93649690;ESCOLA ESTADUAL RUI BARBOSA;RUA UMBELINO DE MOURA;65;RUY BARBOSA - RN;271
-5.75340170;-35.2533040;ESCOLA ESTADUAL MAURICIO FREIRE;RUA JOSE CLAUDINO;35;SAO PAULO DO POTENGI - RN;273
-5.75340170;-35.2533040;ESCOLA ESTADUAL SENADOR DINARTE MARIZ;RUA JOSE CLAUDINO;98;SAO PAULO DO POTENGI - RN;274
-5.970566199999999;-36.0744860;ESCOLA ESTADUAL AMARO CAVALCANTE;AV RAINEL PEREIRA;40;SAO TOME - RN;276
-6.03638890;-35.69333210;ESCOLA ESTADUAL DESEMBARGADOR VICENTE LEMOS;RUA DALMERIO MAURICIO;25;SENADOR ELOI DE SOUZA - RN;277
-5.5640962667947464;-35.24090720526431;ESCOLA ESTADUAL AUGUSTO XAVIER DE GOIS - ENSINO MEDIO EM TEMPO INTEGRAL;RUA JOSE TOME;20;CEARA-MIRIM - RN;278
-5.63246333611196;-35.42422016130752;ESCOLA ESTADUAL BARAO DE CEARA MIRIM;RUA PEDRO DE OLIVEIRA CORREIA;95;CEARA-MIRIM - RN;279
-5.639758953450045;-35.42337702380371;ESCOLA ESTADUAL ENEAS CAVALCANTI;TRAVESSA MANOEL MARQUES;427;CEARA-MIRIM - RN;280
-5.643721221716732;-35.42461255515593;ESCOLA ESTADUAL GENERAL JOAO VARELA;RUA GENERAL JOAO VARELA;949;CEARA-MIRIM - RN;281
-5.642753767426193;-35.42464142432863;ESCOLA ESTADUAL INTERVENTOR UBALDO BEZERRA DE MELO;AV ENEAS CAVALCANTI;1290;CEARA-MIRIM - RN;282
